calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,price
0.3333333333333333,0.0,0.5590909090909091,0.0,35
0.0,0.9342465753424658,0.049999999999999996,0.5,290
0.6666666666666667,0.03561643835616438,0.20909090909090908,0.0,68
0.6666666666666667,0.6602739726027397,0.02727272727272727,0.5,150
0.0,0.8767123287671232,0.03636363636363636,0.5,148
0.0,0.0,0.19999999999999998,0.5,45
0.3333333333333333,0.0,0.12727272727272726,0.5,299
0.0,0.9068493150684932,0.05454545454545454,0.5,275
0.6666666666666667,0.008219178082191782,0.5318181818181817,0.5,150
0.0,0.9780821917808219,0.08181818181818182,0.0,59
0.0,0.09315068493150686,0.031818181818181815,0.5,155
0.0,0.0,0.05454545454545454,0.5,200
0.6666666666666667,0.4904109589041096,0.02727272727272727,0.0,37
0.0,0.0,0.12727272727272726,0.5,95
0.0,0.0,0.02727272727272727,0.5,125
0.3333333333333333,0.33972602739726027,0.02727272727272727,0.5,200
0.0,0.0,0.08636363636363636,0.5,150
0.0,0.008219178082191782,0.12727272727272726,0.5,150
0.6666666666666667,0.873972602739726,0.24545454545454545,0.0,35
0.6666666666666667,0.3780821917808219,0.02727272727272727,1.0,37
0.0,0.0,0.12727272727272726,0.0,120
0.3333333333333333,0.3232876712328767,0.10454545454545454,0.5,300
0.0,1.0,0.5863636363636363,0.0,65
0.0,0.0,0.00909090909090909,0.0,69
0.3333333333333333,0.9506849315068493,0.013636363636363636,0.5,449
0.3333333333333333,0.0,0.06363636363636363,0.0,110
0.0,0.3561643835616438,0.05454545454545454,0.5,185
0.6666666666666667,0.6931506849315069,0.03636363636363636,0.0,123
0.0,0.0,0.02727272727272727,0.0,80
0.0,0.0,0.1409090909090909,0.0,35
0.6666666666666667,0.33972602739726027,0.06818181818181818,0.5,325
0.3333333333333333,0.0,0.02727272727272727,0.0,69
0.3333333333333333,0.6054794520547945,0.08636363636363636,0.5,250
0.0,0.11232876712328767,0.20909090909090908,0.5,20
1.0,0.9506849315068493,0.013636363636363636,0.0,100
0.0,0.0,0.09545454545454544,0.0,69
