number_of_reviews,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n,price
0.006359300476947536,0.0016012810248198558,0.0,0.0,0.07272727272727272,0.5,225
0.5373608903020668,0.0,0.3333333333333333,0.19726027397260273,0.08636363636363636,0.0,80
0.23529411764705885,0.0,0.0,0.9917808219178083,0.05454545454545454,0.5,275
0.16852146263910972,0.0,0.3333333333333333,0.9205479452054794,0.08636363636363636,0.0,99
0.302066772655008,0.0024019215372297837,0.0,0.589041095890411,0.01818181818181818,0.5,225
0.07790143084260732,0.006405124099279423,0.0,0.3178082191780822,0.08636363636363636,0.5,230
0.03656597774244833,0.004803843074459567,0.0,0.2410958904109589,0.031818181818181815,0.0,51
0.07790143084260732,0.0008006405124099279,0.3333333333333333,0.9205479452054794,0.13636363636363635,0.0,65
0.16693163751987283,0.0008006405124099279,0.0,0.8328767123287671,0.013636363636363636,0.0,105
0.033386327503974564,0.0032025620496397116,0.0,0.6136986301369863,0.08636363636363636,0.5,190
0.22575516693163752,0.0,0.0,0.8821917808219178,0.12727272727272726,0.0,200
0.0397456279809221,0.023218574859887906,0.0,0.8876712328767123,0.1409090909090909,0.0,70
0.2273449920508744,0.0016012810248198558,0.0,0.36164383561643837,0.05909090909090909,0.0,95
0.2655007949125596,0.0016012810248198558,0.0,0.8082191780821918,0.06363636363636363,0.0,150
0.09697933227344993,0.0016012810248198558,1.0,0.6520547945205479,0.05454545454545454,0.0,145
0.08585055643879173,0.024019215372297835,0.0,0.5726027397260274,0.00909090909090909,0.5,110
0.11128775834658189,0.0032025620496397116,0.0,0.8986301369863013,0.10454545454545454,0.5,285
0.025437201907790145,0.0040032025620496394,0.0,0.10410958904109589,0.09999999999999999,0.5,130
0.1494435612082671,0.023218574859887906,0.0,0.5150684931506849,0.10454545454545454,0.0,94
0.0397456279809221,0.0,0.0,0.019178082191780823,0.14545454545454545,0.5,800
0.09697933227344993,0.0016012810248198558,0.0,0.7452054794520548,0.05454545454545454,0.5,105
